session_id,customer_id,session_start,session_end,num_events,session_duration
1,2.0,2022-05-19 16:55:18.648681,2022-05-19 16:55:18.648681,2,0.0
2,2.0,2022-05-24 22:21:48.648681,2022-05-24 22:21:48.648681,2,0.0
3,2.0,2022-05-25 06:48:48.648681,2022-05-25 06:48:48.648681,2,0.0
4,2.0,2022-05-25 09:14:33.648681,2022-05-25 09:14:33.648681,2,0.0
5,3.0,2022-05-15 14:18:33.648681,2022-05-15 14:58:18.648681,7,39.75
6,3.0,2022-05-19 15:35:33.648681,2022-05-19 15:35:33.648681,2,0.0
7,3.0,2022-05-25 06:56:18.648681,2022-05-25 07:03:03.648681,27,6.75
8,3.0,2022-05-25 09:26:33.648681,2022-05-25 09:33:03.648681,26,6.5
9,4.0,2022-05-17 11:49:18.648681,2022-05-17 14:10:48.648681,36,141.5
10,4.0,2022-05-23 22:51:48.648681,2022-05-23 22:51:48.648681,2,0.0
11,4.0,2022-05-25 07:20:33.648681,2022-05-25 07:20:33.648681,2,0.0
12,5.0,2022-05-20 06:00:03.648681,2022-05-20 06:00:03.648681,2,0.0
13,5.0,2022-05-23 13:15:48.648681,2022-05-23 17:18:18.648681,107,242.5
14,5.0,2022-05-25 06:36:33.648681,2022-05-25 06:49:48.648681,52,13.25
15,6.0,2022-05-24 20:32:18.648681,2022-05-24 22:54:18.648681,60,142.0
16,6.0,2022-05-25 05:50:18.648681,2022-05-25 05:50:18.648681,2,0.0
17,6.0,2022-05-25 08:28:18.648681,2022-05-25 08:28:18.648681,2,0.0
18,7.0,2022-05-14 13:51:33.648681,2022-05-14 13:51:33.648681,2,0.0
19,7.0,2022-05-21 03:37:03.648681,2022-05-21 03:37:03.648681,2,0.0
20,7.0,2022-05-24 17:14:48.648681,2022-05-24 17:14:48.648681,2,0.0
21,7.0,2022-05-25 07:45:03.648681,2022-05-25 07:45:03.648681,2,0.0
22,8.0,2022-05-19 11:19:18.648681,2022-05-19 11:56:33.648681,7,37.25
23,8.0,2022-05-24 03:41:18.648681,2022-05-24 03:41:18.648681,2,0.0
24,8.0,2022-05-25 09:19:33.648681,2022-05-25 09:19:33.648681,2,0.0
25,9.0,2022-05-18 09:46:33.648681,2022-05-18 10:54:33.648681,20,68.0
26,9.0,2022-05-22 07:15:03.648681,2022-05-22 09:38:18.648681,49,143.25
27,9.0,2022-05-25 05:44:48.648681,2022-05-25 05:44:48.648681,2,0.0
28,9.0,2022-05-25 06:49:33.648681,2022-05-25 06:59:03.648681,35,9.5
29,10.0,2022-05-17 03:40:18.648681,2022-05-17 03:52:03.648681,5,11.75
30,10.0,2022-05-19 17:39:18.648681,2022-05-19 17:39:18.648681,2,0.0
31,11.0,2022-05-15 06:04:33.648681,2022-05-15 11:09:48.648681,87,305.25
32,11.0,2022-05-22 18:47:03.648681,2022-05-22 18:47:03.648681,2,0.0
33,12.0,2022-05-24 21:32:03.648681,2022-05-24 23:51:18.648681,52,139.25
34,13.0,2022-05-15 23:00:18.648681,2022-05-16 02:34:03.648681,50,213.75
35,13.0,2022-05-20 16:45:03.648681,2022-05-20 16:45:03.648681,2,0.0
36,13.0,2022-05-25 04:11:18.648681,2022-05-25 04:11:18.648681,2,0.0
37,13.0,2022-05-25 07:43:48.648681,2022-05-25 07:48:33.648681,15,4.75
38,14.0,2022-05-17 19:46:48.648681,2022-05-17 19:46:48.648681,2,0.0
39,14.0,2022-05-20 09:49:18.648681,2022-05-20 11:14:48.648681,36,85.5
40,14.0,2022-05-25 04:57:33.648681,2022-05-25 04:57:33.648681,2,0.0
41,14.0,2022-05-25 07:34:18.648681,2022-05-25 07:34:18.648681,2,0.0
42,15.0,2022-05-15 01:15:03.648681,2022-05-15 01:15:03.648681,2,0.0
43,15.0,2022-05-25 05:13:48.648681,2022-05-25 05:13:48.648681,2,0.0
44,15.0,2022-05-25 08:45:48.648681,2022-05-25 08:45:48.648681,2,0.0
45,16.0,2022-05-17 20:17:33.648681,2022-05-17 21:49:03.648681,22,91.5
46,16.0,2022-05-23 21:12:03.648681,2022-05-23 21:12:03.648681,2,0.0
47,16.0,2022-05-25 06:13:03.648681,2022-05-25 06:17:03.648681,21,4.0
48,16.0,2022-05-25 09:19:33.648681,2022-05-25 09:19:33.648681,2,0.0
49,17.0,2022-05-17 02:08:03.648681,2022-05-17 02:08:03.648681,2,0.0
50,17.0,2022-05-23 21:34:33.648681,2022-05-23 21:34:33.648681,2,0.0
51,17.0,2022-05-25 06:54:33.648681,2022-05-25 06:54:33.648681,2,0.0
52,17.0,2022-05-25 09:12:33.648681,2022-05-25 09:12:33.648681,2,0.0
53,18.0,2022-05-21 07:38:03.648681,2022-05-21 11:46:33.648681,102,248.5
54,18.0,2022-05-25 09:09:18.648681,2022-05-25 09:34:33.648681,101,25.25
55,19.0,2022-05-15 13:38:03.648681,2022-05-15 17:39:48.648681,55,241.75
56,19.0,2022-05-17 21:03:48.648681,2022-05-17 21:03:48.648681,2,0.0
